Model,Features,Train_Accuracy,Test_Accuracy,Macro_F1,Weighted_F1,Precision_0,Precision_1,Precision_2,Recall_0,Recall_1,Recall_2,F1_0,F1_1,F1_2
LogisticRegression,A_length_only,0.999721929844206,0.9997909792621568,0.9996505550144729,0.9997909100547056,0.9997754322928363,0.9997587963940061,1.0,1.0,0.9999899475260862,0.9983805182341651,0.9998877035373386,0.9998743586006563,0.9991896029054237
RandomForest,A_length_only,0.999721929844206,0.9997909792621568,0.9996505550144729,0.9997909100547056,0.9997754322928363,0.9997587963940061,1.0,1.0,0.9999899475260862,0.9983805182341651,0.9998877035373386,0.9998743586006563,0.9991896029054237
LogisticRegression,B_basic_composition,0.9993934711366911,0.9994998432344466,0.9991957813285713,0.9994999143229948,0.9997754322928363,0.9997587018157689,0.9976624310716854,1.0,0.9995979010434468,0.9983805182341651,0.9998877035373386,0.9996782949633055,0.9980213454850702
RandomForest,B_basic_composition,0.9997685859106145,0.9997984442885084,0.9996622427408894,0.9997983801393439,0.9997754322928363,0.9997688442211056,1.0,1.0,0.9999899475260862,0.9984404990403071,0.9998877035373386,0.9998793836504538,0.999219641034876
LogisticRegression,C_security_pattern,0.9994139998059107,0.9994923782080951,0.9991891216677905,0.9994924265037494,0.9997753313862053,0.9996984106239885,0.9979617528925124,0.9995507637017071,0.999648163413016,0.9985004798464492,0.9996630349320453,0.9996732863871003,0.9982310436842263
RandomForest,C_security_pattern,0.9997816496092088,0.9997909792621568,0.9996505708084293,0.9997909151710631,0.9997754322928363,0.9997688418979085,0.9999399291163573,1.0,0.9999798950521723,0.9984404990403071,0.9998877035373386,0.9998743573377827,0.9991896515501666
Dummy,Baseline_majority,0.7414432774207034,0.7426058913987966,0.28409785408705884,0.6329182205364168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
